iter	Passed	Remaining
0	40	40766
1	79	39855
2	125	41566
3	167	41604
4	203	40550
5	245	40695
6	290	41155
7	336	41733
8	379	41807
9	422	41847
10	467	42003
11	507	41787
12	554	42061
13	593	41777
14	638	41946
15	674	41486
16	712	41203
17	758	41371
18	799	41280
19	839	41114
20	875	40805
21	918	40835
22	968	41127
23	1006	40912
24	1044	40720
25	1080	40469
26	1119	40358
27	1169	40584
28	1211	40563
29	1250	40437
30	1288	40269
31	1327	40162
32	1373	40253
33	1414	40200
34	1459	40252
35	1500	40169
36	1542	40144
37	1584	40114
38	1623	40005
39	1669	40074
40	1706	39924
41	1745	39806
42	1791	39861
43	1835	39884
44	1888	40085
45	1934	40121
46	1976	40075
47	2018	40031
48	2059	39974
49	2098	39867
50	2140	39833
51	2178	39709
52	2221	39700
53	2263	39654
54	2302	39566
55	2345	39539
56	2392	39574
57	2433	39519
58	2475	39488
59	2519	39476
60	2562	39442
61	2600	39342
62	2641	39286
63	2693	39393
64	2734	39334
65	2773	39255
66	2812	39162
67	2854	39116
68	2901	39148
69	2944	39116
70	2985	39066
71	3025	39000
72	3069	38978
73	3112	38950
74	3153	38887
75	3192	38808
76	3235	38781
77	3279	38769
78	3326	38784
79	3366	38715
80	3411	38704
81	3452	38655
82	3497	38642
83	3541	38613
84	3583	38569
85	3626	38543
86	3667	38486
87	3715	38507
88	3761	38505
89	3804	38466
90	3848	38441
91	3894	38432
92	3940	38431
93	3985	38415
94	4029	38386
95	4069	38324
96	4109	38257
97	4152	38218
98	4201	38240
99	4242	38185
100	4284	38138
101	4326	38090
102	4371	38068
103	4416	38051
104	4458	38003
105	4500	37955
106	4539	37888
107	4581	37839
108	4629	37840
109	4669	37777
110	4716	37778
111	4758	37724
112	4804	37715
113	4850	37697
114	4891	37645
115	4931	37585
116	4972	37529
117	5016	37498
118	5063	37489
119	5106	37446
120	5144	37368
121	5183	37303
122	5225	37260
123	5270	37236
124	5312	37187
125	5353	37132
126	5398	37109
127	5439	37054
128	5485	37038
129	5528	36998
130	5570	36952
131	5610	36890
132	5649	36829
133	5696	36811
134	5742	36792
135	5781	36730
136	5823	36685
137	5865	36639
138	5914	36633
139	5959	36607
140	6002	36565
141	6044	36524
142	6085	36473
143	6129	36434
144	6169	36377
145	6212	36339
146	6254	36293
147	6296	36246
148	6343	36229
149	6379	36149
150	6416	36077
151	6459	36035
152	6500	35986
153	6544	35951
154	6585	35904
155	6624	35841
156	6663	35781
157	6706	35738
158	6763	35775
159	6804	35724
160	6841	35653
161	6885	35619
162	6927	35573
163	6976	35560
164	7017	35511
165	7054	35442
166	7095	35391
167	7137	35349
168	7186	35338
169	7227	35287
170	7268	35236
171	7305	35169
172	7346	35121
173	7393	35099
174	7430	35031
175	7473	34989
176	7515	34946
177	7557	34902
178	7602	34870
179	7639	34803
180	7680	34753
