iter	RMSE
0	25500.85849
1	24772.92752
2	24059.81839
3	23373.69814
4	22704.59686
5	22052.64456
6	21426.52796
7	20818.55672
8	20231.41516
9	19668.59285
10	19113.65523
11	18576.05468
12	18055.61045
13	17548.44477
14	17056.10403
15	16585.36146
16	16128.96481
17	15689.1
18	15254.13858
19	14838.73434
20	14431.67081
21	14038.54357
22	13658.41935
23	13292.64605
24	12934.41186
25	12588.13055
26	12252.19749
27	11928.91427
28	11615.96615
29	11314.13976
30	11028.40207
31	10748.5894
32	10473.24256
33	10208.17995
34	9949.626591
35	9697.925904
36	9454.153639
37	9222.104188
38	8993.42587
39	8773.514647
40	8560.385787
41	8351.569814
42	8153.869328
43	7965.192122
44	7782.40671
45	7603.765768
46	7434.458368
47	7267.811465
48	7107.425656
49	6952.451729
50	6802.619576
51	6654.982973
52	6517.089717
53	6379.75964
54	6248.701837
55	6122.039855
56	6002.919363
57	5886.755645
58	5774.943324
59	5666.305725
60	5560.18891
61	5459.216196
62	5361.552183
63	5266.351207
64	5174.930556
65	5088.645058
66	5003.669363
67	4921.969271
68	4847.08347
69	4773.18264
70	4699.89513
71	4628.165594
72	4560.676652
73	4495.281355
74	4435.967939
75	4377.682125
76	4319.273076
77	4263.841499
78	4208.405001
79	4155.103169
80	4105.302707
81	4060.0162
82	4012.703379
83	3970.76778
84	3928.982141
85	3892.04881
86	3853.77991
87	3818.49999
88	3778.589869
89	3742.900856
90	3707.214468
91	3673.595954
92	3643.025268
93	3614.772916
94	3584.933143
95	3556.528167
96	3529.727107
97	3504.353076
98	3480.905367
99	3456.332933
100	3434.029902
101	3413.415635
102	3393.450552
103	3371.895807
104	3354.083964
105	3335.217694
106	3319.134402
107	3301.794307
108	3283.538226
109	3264.131936
110	3246.658421
111	3232.355173
112	3216.622337
113	3202.199801
114	3184.885736
115	3171.61387
116	3158.827059
117	3146.992839
118	3135.677857
119	3124.756522
120	3110.013138
121	3099.323078
122	3086.265049
123	3075.494523
124	3063.599798
125	3052.16913
126	3041.511103
127	3033.131857
128	3022.430672
129	3013.216946
130	3002.66412
131	2992.058886
132	2981.897634
133	2971.723239
134	2962.80998
135	2952.633182
136	2945.173171
137	2937.294116
138	2929.701573
139	2923.17508
140	2914.977233
141	2908.618588
142	2900.793897
143	2894.701472
144	2887.704169
145	2880.259451
146	2872.46232
147	2866.544676
148	2859.917513
149	2853.944791
150	2846.994509
151	2842.108073
152	2837.044881
153	2829.5285
154	2824.367762
155	2818.315709
156	2812.340349
157	2806.032356
158	2800.504095
159	2795.081863
160	2789.312982
161	2783.233797
162	2778.202187
163	2774.147395
164	2768.121896
165	2764.468446
166	2760.427471
167	2755.050115
168	2748.895383
169	2743.269308
170	2739.231697
171	2733.331168
172	2729.489751
173	2725.839428
174	2720.497698
175	2715.496456
176	2711.527542
177	2707.476589
178	2703.939534
179	2699.01311
180	2695.161238
181	2692.731434
182	2687.534112
183	2682.479069
184	2678.197405
185	2673.156635
186	2667.002652
187	2663.025838
188	2659.688366
189	2656.959337
190	2653.175279
191	2649.090571
192	2643.8583
193	2639.320901
194	2636.485483
195	2633.680555
196	2630.655513
197	2627.325539
198	2623.006226
199	2619.835087
200	2616.258692
201	2613.028198
202	2608.932435
203	2605.181955
204	2600.773036
205	2597.571087
206	2593.409254
207	2590.170487
208	2585.83686
209	2581.729461
210	2578.672871
211	2575.986199
212	2572.433776
213	2569.656865
214	2565.636313
215	2562.174457
216	2558.421525
217	2556.341971
218	2553.131071
219	2549.660613
220	2546.355592
221	2542.398532
222	2540.099183
223	2536.050324
224	2533.072813
225	2530.747252
226	2527.647376
227	2525.546514
228	2522.051848
229	2519.304512
230	2516.080343
231	2513.506284
232	2511.028558
233	2508.373033
234	2505.036259
235	2502.589272
236	2500.254862
237	2497.347275
238	2495.075447
239	2491.827315
240	2488.771878
241	2486.151652
242	2483.818319
243	2480.675222
244	2478.234556
245	2475.735607
246	2472.738705
247	2470.073949
248	2467.088618
249	2463.437666
250	2460.481127
251	2458.206477
252	2456.01747
253	2453.708777
254	2451.429295
255	2449.180431
256	2444.875047
257	2442.591205
258	2440.346985
259	2437.906014
260	2433.508113
261	2430.703239
262	2427.412824
263	2425.518425
264	2423.188902
265	2421.125636
266	2418.727188
267	2416.626271
268	2414.188827
269	2411.341339
270	2407.829932
271	2405.549527
272	2403.035584
273	2401.206211
274	2399.07022
275	2397.279226
276	2395.687823
277	2393.806385
278	2391.438725
279	2389.09485
280	2385.979504
281	2384.243438
282	2382.330483
283	2379.549887
284	2377.835649
285	2375.759293
286	2373.304079
287	2371.460631
288	2369.425971
289	2366.618352
290	2363.885822
291	2361.610586
292	2359.544594
293	2357.869713
294	2355.968843
295	2353.99527
296	2351.742304
297	2349.619535
298	2348.137852
299	2346.920441
300	2344.523676
301	2342.628243
302	2339.881373
303	2338.444989
304	2335.651794
305	2333.295771
306	2330.935624
307	2328.99875
308	2325.776278
309	2323.594702
310	2321.605559
311	2318.859278
312	2317.309077
313	2315.671914
314	2313.998976
315	2311.938689
316	2309.84716
317	2308.142788
318	2306.031178
319	2303.777313
320	2302.468292
321	2300.493167
322	2298.629812
323	2296.423754
324	2294.895105
325	2292.299898
326	2290.583325
327	2288.862887
328	2286.652202
329	2284.998142
330	2283.150374
331	2281.263135
332	2279.658808
333	2278.170898
334	2276.545056
335	2274.926457
336	2272.886455
337	2270.99938
338	2268.70308
339	2267.881082
340	2266.060642
341	2263.879605
342	2262.100282
343	2260.457105
344	2259.081242
345	2257.87286
346	2256.155661
347	2254.502663
348	2252.521372
349	2250.937495
350	2249.234311
351	2246.906969
352	2245.449631
353	2244.16897
354	2242.511112
355	2241.306923
356	2239.813095
357	2237.761843
358	2236.346176
359	2234.229203
360	2232.567223
361	2230.741707
362	2228.881398
363	2227.588869
364	2225.925492
365	2223.915225
366	2222.332484
367	2220.767209
368	2218.849193
369	2217.109963
370	2215.794258
371	2214.160769
372	2212.408625
373	2210.959359
374	2210.059676
375	2208.709107
376	2207.124496
377	2205.851092
378	2204.195698
379	2202.247025
380	2201.306536
381	2199.447057
382	2197.877791
383	2196.564867
384	2194.873805
385	2193.164098
386	2191.87072
387	2190.544505
388	2189.213713
389	2187.503591
390	2186.411848
391	2185.111998
392	2183.174793
393	2181.701525
394	2180.597136
395	2179.474075
396	2177.791279
397	2175.942891
398	2174.40694
399	2173.094967
400	2171.482884
401	2170.004342
402	2168.36261
403	2166.911045
404	2165.582526
405	2164.110489
406	2163.250587
407	2162.024203
408	2160.4482
409	2159.20919
410	2158.008463
411	2157.386604
412	2156.010228
413	2154.487146
414	2153.251639
415	2151.730069
416	2150.462618
417	2149.142236
418	2147.63694
419	2146.644569
420	2145.582365
421	2144.180959
422	2142.908227
423	2141.641663
424	2140.085032
425	2138.962674
426	2138.018891
427	2136.650551
428	2135.721441
429	2134.614665
430	2133.257129
431	2131.766046
432	2130.048856
433	2129.094467
434	2128.255159
435	2127.282702
436	2125.994051
437	2124.646315
438	2123.484241
439	2122.153693
440	2121.092033
441	2119.902063
442	2117.946543
443	2117.571156
444	2116.756789
445	2115.339286
446	2114.18878
447	2113.165953
448	2111.836027
449	2110.586428
450	2109.747346
451	2108.936699
452	2108.279151
453	2107.546016
454	2106.423394
455	2105.407092
456	2104.740638
457	2103.301933
458	2102.798121
459	2102.03632
460	2100.873697
461	2099.990141
462	2098.89749
463	2097.293047
464	2095.928716
465	2095.004317
466	2093.981438
467	2092.653952
468	2091.423382
469	2090.66125
470	2089.13859
471	2087.567954
472	2086.836054
473	2085.842961
474	2084.471824
475	2083.298903
476	2081.934651
477	2080.970704
478	2079.474533
479	2078.213143
480	2076.790008
481	2075.373711
482	2074.316183
483	2072.990563
484	2072.295171
485	2071.225433
486	2070.499975
487	2069.240117
