iter	RMSE
0	9060.493463
1	8350.214771
2	7706.328872
3	7131.246108
4	6620.016956
5	6194.798107
6	5803.555779
7	5465.752619
8	5163.149931
9	4901.667846
10	4658.30291
11	4454.570362
12	4272.791704
13	4113.944346
14	3983.422439
15	3869.579064
16	3771.619744
17	3669.160058
18	3581.010984
19	3501.570631
20	3433.585845
21	3378.423412
22	3328.139077
23	3276.913634
24	3228.501547
25	3192.031946
26	3153.742252
27	3116.591287
28	3075.384726
29	3040.023149
30	3011.597378
31	2985.255232
32	2958.68911
33	2932.856568
34	2908.049491
35	2882.532782
36	2859.030708
37	2842.354006
38	2822.79763
39	2807.007768
40	2789.840499
41	2777.182511
42	2756.339822
43	2737.002819
44	2718.801669
45	2704.829163
46	2688.803768
47	2674.909133
48	2658.57652
49	2645.183016
50	2632.061467
51	2617.912113
52	2607.69438
53	2597.819514
54	2585.68636
55	2571.889149
56	2558.886382
57	2545.591821
58	2534.827986
59	2524.633984
60	2514.161542
61	2501.964308
62	2493.217342
63	2481.859641
64	2475.482057
65	2464.43869
66	2450.368492
67	2444.469946
68	2437.168442
69	2427.27085
70	2420.187312
71	2410.526585
72	2399.43719
73	2391.662183
74	2379.9893
75	2374.098705
76	2365.318689
77	2356.654992
78	2350.443908
79	2341.513743
80	2335.055605
81	2328.461009
82	2322.836005
83	2319.009116
84	2313.814175
85	2306.999479
86	2299.833781
87	2292.808547
88	2285.932694
89	2282.246449
90	2275.914029
91	2269.057994
92	2263.729026
93	2259.765799
94	2252.969774
95	2247.894956
96	2242.635685
97	2236.924292
98	2232.428395
99	2226.56439
100	2221.020273
101	2216.682427
102	2212.530926
103	2206.254917
104	2201.311091
105	2196.129266
106	2192.031053
107	2188.035414
108	2184.171567
109	2179.793094
110	2176.439065
111	2172.65223
112	2168.424314
113	2163.378299
114	2159.412901
115	2155.211759
116	2150.132024
117	2146.023483
118	2141.847695
119	2138.069659
120	2134.135789
121	2130.135546
122	2126.863011
123	2124.404569
124	2120.696327
125	2117.630174
126	2114.245174
127	2109.826811
128	2105.639263
129	2101.958081
130	2098.783974
131	2095.315539
132	2091.580713
133	2090.461582
134	2087.768915
135	2083.936536
136	2081.516855
137	2076.43883
138	2072.209359
139	2068.985077
140	2065.276602
141	2062.38718
142	2059.19111
143	2055.735337
144	2052.241991
145	2049.76424
146	2046.984346
147	2043.397144
148	2040.492379
149	2038.489106
150	2035.065924
151	2032.138075
152	2029.099176
153	2026.697257
154	2024.808039
155	2021.304395
156	2018.986744
157	2015.721027
158	2012.983835
159	2009.695719
160	2006.854925
161	2005.384986
162	2002.760914
163	2000.828727
164	1997.965759
165	1996.043108
166	1992.57674
167	1990.937242
168	1987.032434
169	1985.508654
170	1983.592635
171	1981.243161
172	1977.741107
173	1976.026293
174	1974.156658
175	1972.260089
176	1969.562664
177	1966.799287
178	1964.710938
179	1961.975081
180	1960.140802
181	1956.698469
182	1954.757107
183	1952.544899
184	1950.79428
185	1948.529534
186	1946.792007
187	1944.250446
188	1942.024326
189	1940.161949
190	1938.729418
191	1937.310113
192	1934.638438
193	1932.861046
194	1931.055956
195	1929.235123
196	1927.69805
197	1926.025799
198	1923.433853
199	1921.334066
200	1918.86017
201	1916.980149
202	1915.505293
203	1914.448595
204	1912.853776
205	1909.796294
206	1908.254854
207	1906.126152
208	1904.563519
209	1901.942755
210	1899.926862
211	1898.809276
212	1896.757142
213	1894.148749
214	1892.569188
215	1891.292591
216	1890.007773
217	1888.91007
218	1887.403884
219	1886.142766
220	1883.892842
221	1881.535244
222	1879.408655
223	1877.404602
224	1875.933158
225	1873.201535
226	1870.586469
227	1868.913406
228	1868.287502
229	1866.810649
230	1865.433266
231	1863.824009
