iter	Passed	Remaining
0	186	185975
1	232	115975
2	279	93017
3	325	81146
4	379	75479
5	441	73122
6	490	69517
7	541	67171
8	590	64985
9	639	63268
10	687	61805
11	733	60426
12	778	59140
13	827	58294
14	875	57515
15	922	56717
16	972	56236
17	1020	55676
18	1071	55303
19	1116	54718
20	1167	54445
21	1229	54668
22	1279	54345
23	1330	54109
24	1381	53867
25	1442	54021
26	1499	54035
27	1549	53804
28	1602	53663
29	1660	53674
30	1718	53719
31	1770	53556
32	1827	53557
33	1897	53904
34	1962	54100
35	2022	54167
36	2082	54200
37	2130	53929
38	2179	53697
39	2227	53468
40	2274	53195
41	2330	53154
42	2384	53073
43	2432	52842
44	2484	52735
45	2535	52591
46	2590	52521
47	2646	52491
48	2698	52363
49	2751	52282
50	2810	52292
51	2863	52197
52	2911	52022
53	2959	51846
54	3018	51867
55	3071	51781
56	3120	51617
57	3173	51538
58	3230	51521
59	3279	51379
60	3328	51242
61	3377	51104
62	3437	51121
63	3496	51134
64	3548	51049
65	3606	51030
66	3661	50982
67	3710	50853
68	3757	50694
69	3806	50573
70	3863	50557
71	3913	50446
72	3971	50427
73	4025	50374
74	4082	50354
75	4129	50212
76	4185	50166
77	4237	50091
78	4296	50091
79	4348	50002
80	4394	49854
81	4441	49719
82	4506	49789
83	4555	49676
84	4606	49592
85	4660	49534
86	4716	49493
87	4777	49510
88	4828	49423
89	4877	49316
90	4927	49217
91	4992	49276
92	5048	49240
93	5100	49159
94	5155	49109
95	5212	49083
96	5258	48951
97	5309	48870
98	5355	48740
99	5411	48702
100	5464	48642
101	5515	48558
102	5560	48422
103	5618	48401
104	5673	48364
105	5724	48283
106	5775	48197
107	5822	48086
108	5880	48069
109	5931	47994
110	5984	47927
111	6028	47800
112	6090	47810
113	6146	47772
114	6191	47650
115	6244	47587
116	6302	47562
117	6355	47502
118	6404	47418
119	6466	47421
120	6525	47407
121	6577	47336
122	6623	47223
123	6678	47181
124	6736	47155
125	6785	47069
126	6836	46992
127	6887	46919
128	6945	46895
129	6995	46814
130	7040	46706
131	7090	46623
132	7146	46586
133	7181	46414
134	7234	46357
135	7285	46283
136	7339	46233
137	7399	46217
138	7452	46164
139	7506	46113
140	7566	46095
141	7624	46066
142	7683	46045
143	7730	45953
144	7780	45876
145	7836	45838
146	7878	45714
147	7925	45626
148	7986	45612
149	8041	45567
150	8087	45469
151	8137	45399
152	8184	45306
153	8245	45294
154	8290	45198
155	8339	45116
156	8388	45043
157	8442	44993
158	8501	44966
159	8550	44890
160	8600	44817
161	8647	44732
162	8712	44736
163	8761	44662
164	8814	44606
165	8867	44552
166	8928	44533
167	8979	44472
168	9031	44407
169	9083	44347
170	9142	44321
171	9194	44263
172	9247	44206
173	9302	44159
174	9359	44122
175	9408	44047
176	9461	43994
177	9501	43875
178	9556	43832
179	9608	43771
180	9656	43695
181	9708	43634
182	9755	43552
183	9836	43624
184	9888	43562
185	9944	43521
186	9991	43437
187	10039	43363
188	10087	43285
189	10136	43213
190	10184	43139
191	10229	43051
192	10286	43010
193	10332	42927
194	10384	42870
195	10437	42816
196	10492	42767
197	10549	42728
198	10598	42660
199	10654	42616
200	10705	42555
201	10759	42506
202	10818	42476
203	10866	42401
204	10914	42325
205	10977	42311
206	11027	42244
207	11076	42177
208	11129	42119
209	11188	42089
210	11240	42031
211	11293	41976
212	11342	41908
213	11400	41872
214	11453	41818
215	11507	41769
216	11559	41711
217	11606	41633
218	11662	41591
219	11705	41502
220	11755	41436
221	11822	41433
222	11875	41378
223	11930	41330
224	11983	41277
225	12048	41262
226	12106	41225
227	12155	41158
228	12200	41076
229	12250	41012
230	12309	40979
231	12371	40952
