iter	RMSE
0	9067.593218
1	8368.23371
2	7753.622114
3	7181.731388
4	6670.929995
5	6223.457051
6	5868.987038
7	5506.884329
8	5243.405155
9	4966.293724
10	4764.025569
11	4544.98906
12	4350.217692
13	4192.883274
14	4053.733602
15	3924.067765
16	3816.702732
17	3717.919122
18	3632.065451
19	3560.909762
20	3490.707481
21	3432.263841
22	3376.613757
23	3322.16908
24	3282.744662
25	3244.219288
26	3203.994072
27	3168.313479
28	3135.885332
29	3107.662355
30	3075.968937
31	3045.638656
32	3024.677804
33	2997.892286
34	2971.055537
35	2949.81407
36	2930.597123
37	2908.695161
38	2885.890033
39	2864.545136
40	2848.975239
41	2831.86268
42	2817.183714
43	2797.750037
44	2781.020649
45	2767.653836
46	2754.203281
47	2741.560478
48	2728.935237
49	2719.379972
50	2704.866144
51	2694.873766
52	2685.122764
53	2675.593422
54	2665.450522
55	2656.071724
56	2643.331643
57	2631.049779
58	2620.545853
59	2607.62776
60	2593.138972
61	2575.125158
62	2566.549691
63	2559.034954
64	2548.54574
65	2541.738202
66	2525.658071
67	2517.838048
68	2511.219327
69	2502.740364
70	2496.320137
71	2480.693906
72	2474.257538
73	2467.023399
74	2460.999429
75	2453.965913
76	2448.925462
77	2441.178714
78	2437.578836
79	2426.035509
80	2420.720526
81	2411.88358
82	2402.927514
83	2396.309479
84	2388.321159
85	2380.739468
86	2371.642929
87	2366.547143
88	2361.473193
89	2356.306123
90	2350.645732
91	2342.828049
92	2337.366786
93	2331.861794
94	2319.016719
95	2313.067008
96	2308.535436
97	2304.533056
98	2300.179022
99	2294.25101
100	2290.027062
101	2285.535613
102	2280.907327
103	2274.700264
104	2269.927278
105	2266.880679
106	2262.401489
107	2259.694161
108	2254.596077
109	2251.168624
110	2249.375586
111	2244.75809
112	2240.382932
113	2237.010306
114	2234.83182
115	2231.554138
116	2230.276868
117	2227.310511
118	2223.158548
119	2220.076136
120	2215.080027
121	2209.896863
122	2205.894765
123	2204.019039
124	2201.642334
125	2197.67813
126	2192.193054
127	2187.653621
128	2184.60123
129	2181.461784
130	2178.851236
131	2174.829021
132	2171.001908
133	2169.810874
134	2165.169246
135	2160.508396
136	2157.903585
137	2154.85737
138	2150.323733
139	2146.892168
140	2145.054611
141	2143.33328
142	2140.98717
143	2137.710181
144	2134.699476
145	2132.062628
146	2130.506849
147	2127.17625
148	2125.433274
149	2121.691929
150	2117.631258
151	2114.342305
152	2112.42727
153	2110.601341
154	2107.700044
155	2106.00319
156	2100.682572
157	2096.676381
158	2091.61261
159	2089.9228
160	2086.488613
161	2083.551773
162	2081.651813
163	2078.760492
164	2075.66202
165	2072.595993
166	2071.700314
167	2068.569075
168	2068.106878
169	2067.221247
170	2064.676908
171	2064.067259
172	2060.733937
173	2058.545693
174	2054.76064
175	2051.977391
176	2049.529452
177	2047.08093
178	2044.168205
179	2041.594057
180	2039.028832
181	2036.394602
182	2034.5759
183	2032.959948
184	2031.405022
185	2029.468141
186	2027.379496
187	2026.883347
188	2026.703498
189	2026.338987
190	2023.25641
191	2020.715031
192	2018.60583
193	2018.449565
194	2015.780942
195	2013.759305
196	2012.494508
197	2012.072456
198	2010.090061
199	2008.591078
200	2006.63139
201	2004.181847
202	2002.169773
203	2000.379166
204	1999.352614
205	1996.430429
206	1994.603079
207	1992.360167
208	1989.640347
209	1988.81056
210	1986.03967
211	1984.232991
212	1981.774171
213	1979.603359
214	1977.328863
215	1975.982993
216	1975.848512
217	1975.782921
218	1973.579522
219	1971.510121
220	1969.436338
221	1967.709741
222	1966.257541
223	1965.897164
224	1963.345844
225	1962.51576
226	1960.006897
227	1958.105058
228	1955.94928
229	1955.634739
230	1954.028832
231	1952.083517
232	1950.080876
233	1949.164566
234	1947.069974
235	1947.009455
236	1945.259281
237	1943.664655
238	1942.939488
239	1941.147304
240	1940.360391
241	1939.273157
242	1938.311433
243	1937.047971
244	1936.008336
245	1934.174734
246	1931.462201
247	1930.054788
248	1928.023167
249	1926.368727
250	1923.846878
251	1921.717795
252	1919.429269
253	1919.325678
254	1918.181345
255	1916.888938
256	1914.895828
257	1911.660965
258	1910.06188
259	1909.962821
260	1908.692063
261	1907.186849
262	1906.308447
263	1904.36256
264	1903.100864
265	1902.174837
266	1901.4439
267	1899.875135
268	1898.379094
269	1896.855689
270	1894.94145
271	1893.041507
272	1892.174765
273	1891.364961
274	1889.793953
275	1887.232354
276	1885.55154
277	1885.464544
278	1883.54982
279	1883.466322
280	1883.00786
281	1881.600335
282	1879.978292
283	1878.387457
284	1877.545046
285	1876.475126
286	1874.718001
287	1873.135217
288	1871.718242
289	1870.909519
290	1870.058242
291	1869.14509
292	1867.672792
293	1865.849248
294	1865.131403
295	1863.72169
296	1861.826633
297	1860.160296
298	1859.065357
299	1857.709655
300	1856.156948
301	1854.58349
302	1852.660993
303	1851.688478
304	1850.449532
305	1850.11909
306	1847.619565
307	1846.368037
308	1845.172467
309	1843.784591
310	1842.901287
311	1842.709532
312	1841.834139
313	1840.584871
314	1838.082806
315	1836.097455
316	1835.236202
317	1833.037957
318	1832.142883
319	1831.883983
320	1829.860629
321	1828.740305
322	1826.092983
323	1824.608077
324	1821.879904
325	1820.317884
326	1819.728355
327	1818.383121
328	1816.420125
329	1815.155343
330	1815.089998
331	1813.810561
332	1812.352412
333	1811.278008
334	1809.959676
335	1809.899421
336	1807.902943
337	1807.624617
338	1807.125563
339	1806.284796
340	1806.084759
341	1804.942921
342	1803.998697
343	1802.551403
344	1801.553515
345	1801.512578
346	1800.098325
347	1799.643556
348	1798.473668
349	1797.496807
350	1796.232145
351	1796.027263
352	1795.212205
353	1794.532963
354	1794.456836
355	1793.14238
356	1791.845136
357	1791.463378
358	1789.989631
359	1789.556176
360	1788.628739
361	1787.773619
362	1786.891995
363	1786.145701
364	1784.46105
365	1783.230103
366	1782.082664
367	1780.71575
368	1778.80567
369	1778.474473
370	1777.400132
371	1776.166563
372	1775.72128
373	1773.844693
374	1773.507062
375	1771.955503
376	1770.694066
377	1770.151533
378	1768.846617
379	1768.281676
380	1766.745062
381	1765.788753
382	1764.009588
383	1763.201444
384	1762.503375
385	1761.436987
386	1760.304441
387	1759.200586
388	1757.81011
389	1756.845795
390	1756.454805
391	1755.894093
392	1754.838568
393	1754.11563
394	1752.697783
395	1750.750715
396	1749.619498
397	1749.006857
398	1748.345429
399	1747.581653
400	1747.118781
401	1746.902355
402	1746.841478
403	1744.390724
404	1743.417703
405	1742.761709
406	1741.679726
407	1741.079688
408	1741.076488
409	1739.726262
410	1739.184845
411	1738.481828
412	1737.362009
413	1736.754331
414	1736.745949
415	1736.036707
416	1734.981434
417	1733.985118
418	1733.100952
419	1732.59489
420	1731.918066
421	1730.535856
422	1729.885538
423	1729.541166
424	1728.632084
425	1727.701006
426	1726.896407
427	1726.082434
428	1724.888513
429	1724.272883
430	1723.436627
431	1722.92511
432	1722.67559
433	1721.197883
434	1720.55578
435	1719.124775
436	1718.404615
437	1717.737794
438	1716.227066
439	1715.427161
440	1715.06842
441	1714.103123
442	1713.641764
443	1712.783889
444	1711.90754
445	1710.649193
446	1710.254639
447	1709.111104
448	1708.837714
449	1707.690198
450	1706.936084
451	1706.416633
452	1705.867566
453	1704.864973
454	1703.95172
455	1703.247381
456	1701.924934
457	1701.596061
458	1700.635438
459	1699.568868
460	1699.272804
461	1698.699489
462	1698.423886
463	1697.929677
464	1696.660224
465	1695.678567
466	1694.841881
467	1694.102237
468	1693.461293
469	1692.205252
470	1691.05483
471	1690.420443
472	1689.344065
473	1688.449285
474	1687.662387
475	1686.57696
476	1685.978997
477	1685.204087
478	1684.911786
479	1684.153796
480	1683.377372
481	1682.847102
482	1682.741754
483	1681.91681
484	1681.17059
485	1680.39999
486	1679.834073
487	1678.68166
488	1677.309553
489	1676.534458
490	1676.325448
491	1675.575077
492	1674.909915
493	1674.269841
494	1673.571157
495	1672.725001
496	1671.981864
497	1671.282371
498	1670.871543
499	1669.907593
500	1668.003022
501	1667.677242
502	1667.174169
503	1667.16595
504	1666.259463
505	1665.506904
506	1665.041918
507	1664.419368
508	1664.008637
509	1662.905212
510	1662.174415
511	1661.875932
512	1661.197387
513	1660.922362
514	1660.14035
515	1659.194346
516	1658.252652
517	1657.070365
518	1656.839334
519	1656.829647
520	1655.87475
521	1655.541226
522	1654.916418
523	1654.604475
524	1653.991729
525	1653.31321
526	1653.00048
527	1652.766591
528	1652.757826
529	1651.433013
530	1650.644704
531	1649.512428
532	1648.740135
533	1648.193028
534	1647.441376
535	1646.884491
536	1646.536277
537	1645.861151
538	1644.478892
539	1644.207002
540	1643.930645
541	1643.723815
542	1642.563708
543	1642.108115
544	1641.679287
545	1640.849643
546	1639.946375
547	1639.202959
548	1638.841398
549	1638.611557
550	1637.818498
551	1637.243269
552	1636.713461
553	1636.0532
554	1635.643196
555	1635.636573
556	1634.781552
557	1634.355879
558	1633.507974
559	1632.777559
560	1632.268308
561	1631.690344
562	1631.111098
563	1630.735806
564	1630.159127
565	1629.585098
566	1628.926657
567	1628.070893
568	1627.627424
569	1626.911634
570	1626.233865
571	1625.194525
572	1624.918649
573	1623.924239
574	1623.349701
575	1622.945206
576	1622.164708
577	1621.68989
578	1621.199322
579	1620.630966
580	1620.356497
581	1619.852454
582	1619.524996
583	1619.218397
584	1618.773875
585	1618.581497
586	1618.114616
587	1617.582162
588	1616.881692
589	1616.368152
590	1615.927197
591	1615.259498
592	1614.706076
593	1614.317349
594	1613.881161
595	1613.162353
596	1612.858334
597	1612.150674
598	1611.75075
599	1611.510562
600	1611.062154
601	1610.562496
602	1610.216107
603	1609.478805
604	1609.065276
605	1608.317414
606	1607.938798
607	1607.607572
608	1606.96293
609	1606.325231
610	1605.820712
611	1605.719597
612	1605.699493
613	1605.019079
614	1604.491577
615	1603.969119
616	1603.552283
617	1603.050097
618	1602.689159
619	1602.208961
620	1601.907377
621	1600.998858
622	1600.699465
623	1600.146975
624	1599.517822
625	1599.00124
626	1598.91846
627	1598.403759
628	1597.607543
629	1596.860458
630	1596.045368
631	1595.902544
632	1595.342123
633	1595.069301
634	1594.486776
635	1594.022224
636	1593.725827
637	1593.245287
638	1593.033579
639	1592.549912
640	1592.121633
641	1591.420126
642	1590.593234
643	1589.947369
644	1589.522281
645	1589.217313
646	1588.924906
647	1588.335473
648	1588.056964
649	1587.1836
650	1586.47815
651	1586.301348
652	1585.937901
653	1585.27433
654	1584.760441
655	1584.118644
656	1583.680282
657	1583.029246
658	1582.808635
659	1582.479068
660	1582.006675
661	1581.642861
662	1581.189469
663	1580.970106
664	1580.728917
665	1580.214074
666	1579.692038
667	1579.18498
668	1578.608304
669	1578.400757
670	1577.888098
671	1577.757898
672	1577.331786
673	1577.19496
674	1576.774325
675	1576.271538
676	1575.762755
677	1575.263493
678	1574.880378
679	1574.682626
680	1574.610806
681	1574.252014
682	1573.86142
683	1573.432823
684	1572.857963
685	1572.601813
686	1572.30437
687	1572.074547
688	1571.780292
689	1571.246711
690	1570.668089
691	1570.390716
692	1569.980704
693	1569.269237
694	1568.917987
