iter	Passed	Remaining
0	217	217605
1	292	145984
2	358	119127
3	423	105525
4	482	95957
5	539	89389
6	602	85462
7	666	82632
8	734	80870
9	785	77809
10	840	75578
11	910	75002
12	975	74068
13	1027	72363
14	1084	71183
15	1141	70203
16	1190	68863
17	1265	69021
18	1320	68161
19	1386	67937
20	1447	67500
21	1508	67053
22	1571	66764
23	1635	66495
24	1689	65903
25	1747	65461
26	1815	65428
27	1878	65205
28	1957	65530
29	2017	65226
30	2080	65041
31	2152	65112
32	2227	65280
33	2305	65508
34	2373	65447
35	2438	65286
36	2501	65117
37	2574	65169
38	2647	65239
39	2718	65238
40	2783	65103
41	2846	64924
42	2923	65060
43	2991	64992
44	3060	64948
45	3128	64889
46	3204	64972
47	3274	64938
48	3350	65025
49	3414	64882
50	3479	64744
51	3544	64621
52	3619	64665
53	3689	64637
54	3760	64610
55	3822	64434
56	3901	64541
57	3959	64308
58	4023	64165
59	4091	64093
60	4168	64169
61	4244	64210
62	4325	64333
63	4412	64536
64	4495	64664
65	4569	64668
66	4642	64645
67	4717	64656
68	4783	64548
69	4863	64609
70	4934	64561
71	5002	64482
72	5080	64514
73	5146	64404
74	5210	64263
75	5285	64260
76	5344	64063
77	5403	63876
78	5478	63865
79	5545	63769
80	5608	63629
81	5678	63575
82	5740	63427
83	5810	63356
84	5884	63342
85	5963	63375
86	6036	63350
87	6101	63231
88	6168	63139
89	6242	63114
90	6315	63084
91	6394	63115
92	6464	63041
93	6531	62948
94	6597	62850
95	6673	62838
96	6746	62801
97	6811	62690
98	6870	62531
99	6940	62462
100	7006	62364
101	7065	62200
102	7132	62116
103	7208	62104
104	7280	62060
105	7354	62024
106	7433	62040
107	7497	61924
108	7575	61921
109	7650	61903
110	7721	61841
111	7786	61736
112	7860	61697
113	7935	61675
114	7998	61554
115	8067	61483
116	8123	61307
117	8194	61250
118	8278	61289
119	8349	61228
120	8417	61145
121	8474	60991
122	8546	60939
123	8611	60837
124	8676	60733
125	8742	60642
126	8816	60606
127	8886	60541
128	8944	60389
129	9008	60287
